New Jersey,1/18/21,56100,56100
New Mexico,1/18/21,13200,13200
New York,1/18/21,71400,71400
New York City,1/18/21,54200,54200
North Carolina,1/18/21,63800,63800
North Dakota,1/18/21,4800,4800
Ohio,1/18/21,73200,73200
Oklahoma,1/18/21,24100,24100
Oregon,1/18/21,26200,26200
Palau,1/18/21,0,0
Pennsylvania,1/18/21,72100,72100
Philadelphia,1/18/21,10000,10000
Puerto Rico,1/18/21,21900,21900
Rhode Island,1/18/21,6900,6900
South Carolina,1/18/21,31400,31400
South Dakota,1/18/21,5300,5300
Tennessee,1/18/21,41800,41800
Texas,1/18/21,167100,167100
U.S. Virgin Islands,1/18/21,700,700
Utah,1/18/21,17400,17400
Vermont,1/18/21,4200,4200
Virginia,1/18/21,53100,53100
Washington,1/18/21,46500,46500
West Virginia,1/18/21,11900,11900
Wisconsin,1/18/21,36700,36700
Wyoming,1/18/21,3700,3700
Alabama,1/11/21,29100,29100
Alaska,1/11/21,0,0
American Samoa,1/11/21,0,0
Arizona,1/11/21,41300,41300
Arkansas,1/11/21,17700,17700
California,1/11/21,232300,232300
Chicago,1/11/21,16200,16200
Colorado,1/11/21,33000,33000
Connecticut,1/11/21,21900,21900
Delaware,1/11/21,5800,5800
District of Columbia,1/11/21,4400,4400
Federal Entities,1/11/21,99900,99900
Florida,1/11/21,127100,127100
Georgia,1/11/21,60200,60200
Guam,1/11/21,0,0
Hawaii,1/11/21,8700,8700
Idaho,1/11/21,9700,9700
Illinois,1/11/21,60300,60300
Indiana,1/11/21,39200,39200
Iowa,1/11/21,18600,18600
Kansas,1/11/21,17000,17000
Kentucky,1/11/21,26500,26500
Louisiana,1/11/21,27500,27500
Maine,1/11/21,8400,8400
Mariana Islands,1/11/21,0,0
Marshall Islands,1/11/21,0,0
Maryland,1/11/21,36000,36000
Massachusetts,1/11/21,42100,42100
Michigan,1/11/21,60000,60000
Micronesia,1/11/21,0,0
Minnesota,1/11/21,32900,32900
Mississippi,1/11/21,17600,17600
Missouri,1/11/21,36400,36400
Montana,1/11/21,6400,6400
Nebraska,1/11/21,11200,11200
Nevada,1/11/21,17400,17400
New Hampshire,1/11/21,8400,8400
New Jersey,1/11/21,53400,53400
New Mexico,1/11/21,12500,12500
New York,1/11/21,68000,68000
New York City,1/11/21,51600,51600
North Carolina,1/11/21,60800,60800
North Dakota,1/11/21,4600,4600
Ohio,1/11/21,69700,69700
Oklahoma,1/11/21,22900,22900
Oregon,1/11/21,25000,25000
Palau,1/11/21,0,0
